Start Date,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),GHG Savings (kg),Energy (kWh),Port Type,Plug Type,Gasoline Savings (gallons),Postal Code,Ended By,Fee,Driver Postal Code,User ID,day_of_week,week,month,hour,count_event
2015-02-13 13:30:00,1:12:10,1:11:50,2.625,6.249,Level 2,J1772,0.784,30308,Plug Out at Vehicle,1.02,30102,254811.0,Friday,7,2,13,1
2015-02-13 12:47:00,0:58:39,0:58:15,1.828,4.352,Level 2,J1772,0.546,30308,Customer,0.83,30269,323807.0,Friday,7,2,12,1
2015-02-13 11:50:00,1:11:40,1:11:24,1.8230000000000002,4.341,Level 2,J1772,0.545,30308,Plug Out at Vehicle,1.02,30253,345151.0,Friday,7,2,11,1
2015-02-13 07:43:00,4:50:48,3:19:30,3.3,7.857,Level 2,J1772,0.986,30308,Plug Out at Vehicle,4.12,30062,261355.0,Friday,7,2,7,1
2015-02-13 09:33:00,1:58:46,1:58:14,2.551,6.075,Level 2,J1772,0.762,30308,Plug Out at Vehicle,1.68,0,0.0,Friday,7,2,9,1
2015-02-13 07:00:00,2:24:09,2:23:58,3.258,7.757999999999999,Level 2,J1772,0.9740000000000001,30308,Plug Out at Vehicle,2.04,30043,320245.0,Friday,7,2,7,1
2015-02-12 17:30:00,1:37:47,1:37:25,4.011,9.55,Level 2,J1772,1.199,30308,Plug Out at Vehicle,1.39,0,0.0,Thursday,7,2,17,1
2015-02-12 07:09:00,3:24:31,3:24:24,4.735,11.275,Level 2,J1772,1.415,30308,CPS Server,2.9,30346,300523.0,Thursday,7,2,7,1
2015-02-12 15:23:00,1:02:10,1:01:50,2.546,6.061,Level 2,J1772,0.7609999999999999,30308,Customer,0.88,30350,335135.0,Thursday,7,2,15,1
2015-02-12 14:55:00,1:24:00,1:23:29,1.6880000000000002,4.019,Level 2,J1772,0.504,30308,Customer,1.19,30308,209813.0,Thursday,7,2,14,1
2015-02-12 13:48:00,2:29:54,2:29:45,3.8160000000000003,9.085,Level 2,J1772,1.14,30308,Plug Out at Vehicle,2.12,30101,250761.0,Thursday,7,2,13,1
2015-02-12 13:04:00,2:05:58,1:54:49,2.164,5.153,Level 2,J1772,0.647,30308,Plug Out at Vehicle,1.78,30253,345151.0,Thursday,7,2,13,1
2015-02-12 07:11:00,7:15:43,6:20:20,8.097999999999999,19.28,Level 2,J1772,2.42,30308,Plug Out at Vehicle,6.17,30622,217113.0,Thursday,7,2,7,1
2015-02-12 07:45:00,5:34:04,4:47:36,5.18,12.334000000000001,Level 2,J1772,1.548,30308,Plug Out at Vehicle,4.73,30062,261355.0,Thursday,7,2,7,1
2015-02-12 07:11:00,3:12:37,3:12:16,4.19,9.975,Level 2,J1772,1.252,30308,Plug Out at Vehicle,2.73,30102,254811.0,Thursday,7,2,7,1
2015-02-11 17:26:00,3:10:35,3:10:19,5.382000000000001,12.815,Level 2,J1772,1.608,30308,Plug Out at Vehicle,2.7,30360,200169.0,Wednesday,7,2,17,1
2015-02-11 13:12:00,3:27:22,3:27:05,5.807,13.825999999999999,Level 2,J1772,1.735,30308,Plug Out at Vehicle,2.94,30253,345151.0,Wednesday,7,2,13,1
2015-02-11 16:38:00,0:02:00,0:00:00,0.0,0.0,Level 2,J1772,0.0,30308,Timeout,0.0,30269,323807.0,Wednesday,7,2,16,1
2015-02-11 11:39:00,4:59:42,4:37:06,5.211,12.408,Level 2,J1772,1.557,30308,Customer,4.25,30269,323807.0,Wednesday,7,2,11,1
2015-02-11 09:40:00,6:32:08,4:48:07,7.6739999999999995,18.272000000000002,Level 2,J1772,2.293,30308,Plug Out at Vehicle,5.56,30622,217113.0,Wednesday,7,2,9,1
2015-02-11 08:05:00,5:18:54,3:57:31,4.03,9.594,Level 2,J1772,1.204,30308,Plug Out at Vehicle,4.52,30043,251467.0,Wednesday,7,2,8,1
2015-02-11 06:23:00,5:17:58,4:43:32,5.446000000000001,12.967,Level 2,J1772,1.6269999999999998,30308,Plug Out at Vehicle,4.5,30114,235945.0,Wednesday,7,2,6,1
