From,To,km
30308,28207,362.076
30308,30002,10.766
30308,30004,42.394
30308,30005,38.345
30308,30009,34.898
30308,30016,50.263
30308,30019,50.991
30308,30022,31.477
30308,30024,41.906
30308,30030,8.119
30308,30033,9.858
30308,30039,31.807
30308,30040,51.895
30308,30041,54.583
30308,30043,42.441
30308,30044,33.379
30308,30045,45.479
30308,30047,26.965
30308,30062,27.385
30308,30064,28.494
30308,30066,31.328
30308,30067,19.733
30308,30068,22.456
30308,30075,31.595
30308,30076,29.271
30308,30080,15.607
30308,30082,17.327
30308,30084,17.578
30308,30096,31.174
30308,30097,35.561
30308,30101,42.203
30308,30102,44.354
30308,30110,70.122
30308,30113,76.935
30308,30114,54.698
30308,30126,16.956
30308,30127,31.427
30308,30134,37.282
30308,30135,34.789
30308,30141,37.531
30308,30144,35.485
30308,30152,34.634
30308,30168,19.459
30308,30189,43.094
30308,30215,42.819
30308,30253,40.101
30308,30263,61.604
30308,30268,40.509
30308,30269,45.783
30308,30276,59.187
30308,30306,3.185
30308,30307,4.114
30308,30308,0
30308,30309,3.277
30308,30312,2.948
30308,30316,7.888
30308,30318,6.864
30308,30319,12.325
30308,30327,11.543
30308,30328,17.963
30308,30338,20.242
30308,30339,14.036
30308,30341,15.404
30308,30342,12.351
30308,30345,12.51
30308,30346,17.406
30308,30350,23.674
30308,30360,20.547
30308,30363,2.934
30308,30458,282.277
30308,30506,77.945
30308,30518,51.443
30308,30519,53.234
30308,30542,62.587
30308,30606,89.94
30308,30622,81.246
30308,30701,96.354
30308,31312,321.463
30308,31794,272.695
30308,33331,941.004
30308,48326,996.445
30308,98052,3491.18
30308,310062,132.897
30308,300335807,9.858
